pivot,inflection,derivation
tener,tenía,tenedor
trabajar,trabajaba,trabajador
jugar,jugaba,jugador
gobernar,gobernaba,gobernador
poseer,poseía,poseedor
cambia,cambiaba,cambiador
consumir,consumía,consumidor
entender,entendía,entendedor
conservar,conservaba,conservador
entrenar,entrenaba,entrenador
correr,corría,corredor
seguir,seguía,seguidor
comer,comía,comedor
abrir,abría,abridor
ordenar,ordenaba,ordenador
observar,observaba,observador
colaborar,colaboraba,colaborador
investigar,investigaba,investigador
coordinar,coordinaba,coordinador
crear,creaba,creador
explorar,exploraba,explorador
ganar,ganaba,ganador
contener,contenía,contenedor
vender,vendía,vendedor
salvar,salvaba,salvador
organizar,organizaba,organizador
transformar,transformaba,transformador
limpiar,limpiaba,limpiador
indicar,indicaba,indicador
operar,operaba,operador
fundar,fundaba,fundador
cazar,cazaba,cazador
marcar,marcaba,marcador
narrar,narraba,narrador
pescar,pescaba,pescador
vencer,vencía,vencedor
servir,servía,servidor
reparar,reparaba,reparador
comprar,compraba,comprador
realizar,realizaba,realizador
poblar,poblaba,poblador
proveer,proveía,proveedor
conquistar,conquistaba,conquistador
presentar,presentaba,presentador
competir,competía,competidor
diseñar,diseñaba,diseñador
computar,computaba,computador
mostrar,mostraba,mostrador
pensar,pensaba,pensador
negociar,negociaba,negociador